FECHA,IPC
07/11/2017,0.947617823
08/11/2017,0.944353133
09/11/2017,0.941990501
10/11/2017,0.928740334
13/11/2017,0.928240055
14/11/2017,0.925749766
15/11/2017,0.922213976
16/11/2017,0.92331409
17/11/2017,0.925430549
21/11/2017,0.93178423
22/11/2017,0.932000415
23/11/2017,0.930827559
24/11/2017,0.927069163
27/11/2017,0.914179682
28/11/2017,0.913287067
29/11/2017,0.920901529
30/11/2017,0.910643288
01/12/2017,0.913986082
04/12/2017,0.911975224
05/12/2017,0.917804832
06/12/2017,0.908339423
07/12/2017,0.908604557
08/12/2017,0.919933301
11/12/2017,0.922373283
13/12/2017,0.93354408
14/12/2017,0.932493291
15/12/2017,0.929770048
18/12/2017,0.940463379
19/12/2017,0.93598663
20/12/2017,0.935742194
21/12/2017,0.937925729
22/12/2017,0.935694606
26/12/2017,0.936920564
27/12/2017,0.940811829
28/12/2017,0.944860739
29/12/2017,0.954384009
02/01/2018,0.967524271
03/01/2018,0.962656696
04/01/2018,0.96192943
05/01/2018,0.964696938
08/01/2018,0.966782124
09/01/2018,0.961093089
10/01/2018,0.94337773
11/01/2018,0.943651172
12/01/2018,0.95015857
15/01/2018,0.955019422
16/01/2018,0.957038967
17/01/2018,0.961691188
18/01/2018,0.965165491
19/01/2018,0.960980691
22/01/2018,0.966374302
23/01/2018,0.971900329
24/01/2018,0.981311428
25/01/2018,0.981910281
26/01/2018,0.987471508
29/01/2018,0.979172535
30/01/2018,0.974271271
31/01/2018,0.975688941
01/02/2018,0.97829903
02/02/2018,0.974522052
06/02/2018,0.953427187
07/02/2018,0.947075017
08/02/2018,0.92552648
09/02/2018,0.924308
12/02/2018,0.924915163
13/02/2018,0.926776232
14/02/2018,0.935942517
15/02/2018,0.943825208
16/02/2018,0.945263726
19/02/2018,0.946147428
20/02/2018,0.941442861
21/02/2018,0.938549963
22/02/2018,0.946943357
23/02/2018,0.9406353
26/02/2018,0.937154803
27/02/2018,0.927616652
28/02/2018,0.917324118
01/03/2018,0.92044695
02/03/2018,0.91945455
05/03/2018,0.922796212
06/03/2018,0.9259621
07/03/2018,0.921659387
08/03/2018,0.932834037
09/03/2018,0.938953328
12/03/2018,0.941174027
13/03/2018,0.938964205
14/03/2018,0.931218235
15/03/2018,0.924655317
16/03/2018,0.918090814
20/03/2018,0.91033525
21/03/2018,0.918946718
22/03/2018,0.915837256
23/03/2018,0.899495076
26/03/2018,0.906118725
27/03/2018,0.904864063
28/03/2018,0.891932659
02/04/2018,0.886166048
03/04/2018,0.902746244
04/04/2018,0.917701801
05/04/2018,0.927260044
06/04/2018,0.926764222
09/04/2018,0.92933322
10/04/2018,0.934603631
11/04/2018,0.938483264
12/04/2018,0.943325685
13/04/2018,0.943049977
16/04/2018,0.936593037
17/04/2018,0.946246608
18/04/2018,0.949285065
19/04/2018,0.94260484
20/04/2018,0.936538651
23/04/2018,0.936744413
24/04/2018,0.929098075
25/04/2018,0.929318717
26/04/2018,0.933950014
27/04/2018,0.933696664
30/04/2018,0.935118942
02/05/2018,0.924518596
03/05/2018,0.91067592
04/05/2018,0.908704341
07/05/2018,0.898697788
08/05/2018,0.903431814
09/05/2018,0.895211852
10/05/2018,0.900183894
11/05/2018,0.903613782
14/05/2018,0.899560037
15/05/2018,0.89452598
16/05/2018,0.897635593
17/05/2018,0.885416877
18/05/2018,0.883074564
21/05/2018,0.876079276
22/05/2018,0.881800262
23/05/2018,0.885200162
24/05/2018,0.878555817
25/05/2018,0.871959814
28/05/2018,0.86730072
29/05/2018,0.863362094
30/05/2018,0.864686854
31/05/2018,0.863655629
01/06/2018,0.870434732
04/06/2018,0.874898942
05/06/2018,0.872708382
06/06/2018,0.873696928
07/06/2018,0.879396614
08/06/2018,0.888349205
11/06/2018,0.895341624
12/06/2018,0.902295518
13/06/2018,0.90422593
14/06/2018,0.912669782
15/06/2018,0.907672662
18/06/2018,0.902297859
19/06/2018,0.898962317
20/06/2018,0.904203344
21/06/2018,0.898353794
22/06/2018,0.903782379
25/06/2018,0.903979832
26/06/2018,0.907094883
27/06/2018,0.906427518
28/06/2018,0.909460386
29/06/2018,0.921680235
02/07/2018,0.9021557
03/07/2018,0.909897818
04/07/2018,0.915015041
05/07/2018,0.939073204
